SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.4460143962
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.6942806004
Chamaedorea_radicalis,-99.1666666667,23.0833333333,1.5869595987
Chamaedorea_radicalis_2,-99.1666666667,23.0833333333,1.6900535779
Chamaedorea_radicalis_2,-99.1666666667,23.0833333333,1.6309180733
Dioon_merolae,-93.5666666667,16.6166666667,1.771289577
Dioon_merolae,-93.55,16.6333333333,1.7650025891
Encephalartos_cycadifolius,26.45,-32.6166666667,1.6849247644
Euterpe_edulis,-47.1091666667,-22.8291666667,1.1186428622
Euterpe_oleracea,-76.8777777778,6.5327777778,1.3843628682
Euterpe_oleracea,-76.8694444444,6.5811111111,1.5871628014
Euterpe_oleracea,-76.8444444444,6.5327777778,1.3843628682
Euterpe_precatoria,-65.7166666667,-10.9833333333,1.5871628014
Geonoma_brevispatha,-47.1,-22.7333333333,1.3652785801
Geonoma_deversa,-67.3333333333,-11.75,1.0461302792
Neodypsis_decaryi,46.15,-25.0166666667,1.0900350454
Neodypsis_decaryi,46.15,-25.0166666667,1.137562924
Neodypsis_decaryi,46.15,-25.0166666667,1.1824263096
Pseudophoenix_sargentii,-87.35,20.3166666667,1.1932490685
Pseudophoenix_sargentii,-87.35,20.3166666667,1.2045154447
Pseudophoenix_sargentii,-87.6666666667,21.5,1.213085468
Pseudophoenix_sargentii,-87.9833333333,21.6,1.2430892022
Pseudophoenix_sargentii,-87.8833333333,19.1833333333,1.059201706
Pseudophoenix_sargentii,-88.4666666667,18.4333333333,1.1037327011
Pseudophoenix_sargentii_2,-80.3370944444,25.4642777778,1.1278346154
Pseudophoenix_sargentii_2,-80.3370944444,25.4642777778,1.2280751844
Rhopalostylis_sapida,174.5333333333,-36.7666666667,1.0347336402
Rhopalostylis_sapida_2,174.5333333333,-36.7666666667,1.0453314458
Sabal_yapa,-88.1166666667,19.8166666667,1.0437456168
Sabal_yapa,-88.1166666667,19.8166666667,1.0291319365
Sabal_yapa,-88.1166666667,19.8166666667,1.0210254008
Adesmia_volckmannii,-70.2666666667,-45.6833333333,3.1134556901
Adesmia_volckmannii,-70.2666666667,-45.6833333333,2.5651396648
Ambrosia_deltoidea,-111,32.2166666667,1.7920454545
